Id,Label,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,Clustering Coefficient,eigencentrality
51,Anabel,3,0.512821,0.558333,0,0.129268,0.129268,0.02954,0,2,0,1,3,1,0.330503
35,Alba,2,0.8,0.875,120.870238,0.391612,0.391612,0.13858,0,2,0,0.2,21,0.2,1
53,Sara,3,0.454545,0.483333,0,0.055499,0.055499,0.014375,0,2,0,0,0,0,0.144417
37,Bela,3,0.645161,0.758333,26.860714,0.391268,0.391268,0.087941,0,2,0,0.436364,24,0.436364,0.979197
52,Eva,3,0.47619,0.516667,0,0.105613,0.105613,0.021228,0,2,0,1,1,1,0.268965
45,Laura,3,0.512821,0.558333,0,0.129268,0.129268,0.02954,0,2,0,1,3,1,0.330503
54,Adri,3,0.487805,0.541667,0,0.1377,0.1377,0.028512,0,2,0,1,3,1,0.349703
39,Marta,3,0.606061,0.708333,11.071429,0.353618,0.353618,0.072563,0,2,0,0.555556,20,0.555556,0.88546
40,David,3,0.540541,0.608333,0.991667,0.226412,0.226412,0.042849,0,2,0,0.8,8,0.8,0.570407
55,Lili,3,0.512821,0.575,37,0.067427,0.067427,0.057608,0,0,0,0.166667,1,0.166667,0.184655
50,Carmen,1,1,1,0,0,0,0.043478,1,1,1,0,0,0,0.002707
49,Blanca,1,1,1,0,0,0,0.043478,1,1,1,0,0,0,0.002707
56,Pedro,4,0.408163,0.466667,0,0.102369,0.102369,0.020108,0,2,0,1,1,1,0.253858
44,Chary,3,0.588235,0.683333,12.702381,0.331072,0.331072,0.063922,0,2,0,0.642857,18,0.642857,0.824758
57,Ari,4,0.425532,0.516667,0,0.185717,0.185717,0.033578,0,2,0,1,6,1,0.457934
43,Maru,3,0.571429,0.658333,5.302381,0.318365,0.318365,0.055436,0,2,0,0.809524,17,0.809524,0.793145
48,Irene,4,0.344828,0.379167,0,0.009556,0.009556,0.018754,0,0,0,0,0,0,0.029906
47,Adri,4,0.344828,0.379167,0,0.009556,0.009556,0.018754,0,0,0,0,0,0,0.029906
36,Ale,3,0.487805,0.525,0,0.065054,0.065054,0.026608,0,0,0,1,1,1,0.174323
42,Isma,4,0.465116,0.583333,0.767857,0.269755,0.269755,0.047574,0,2,0,0.866667,13,0.866667,0.666796
38,Violeta,3,0.465116,0.508333,0,0.064663,0.064663,0.025001,0,2,0,1,1,1,0.170667
41,lnés,3,0.571429,0.658333,2.433333,0.323417,0.323417,0.055569,0,2,0,0.809524,17,0.809524,0.807638
46,Pili,3,0.465116,0.508333,0,0.064663,0.064663,0.025001,0,2,0,1,1,1,0.170667
